,oid_,state,stateabbrv,county,population,buildvalue,agrivalue,area,risk_score,risk_ratng,risk_spctl,eal_score,eal_ratng,eal_spctl,sovi_score,sovi_ratng,sovi_spctl,resl_score,resl_ratng,resl_spctl,avln_evnts,avln_risks,avln_riskr,cfld_evnts,cfld_risks,cfld_riskr,cwav_evnts,cwav_risks,cwav_riskr,drgt_evnts,drgt_risks,drgt_riskr,erqk_evnts,erqk_risks,erqk_riskr,hail_evnts,hail_risks,hail_riskr,hwav_evnts,hwav_risks,hwav_riskr,hrcn_evnts,hrcn_risks,hrcn_riskr,istm_evnts,istm_risks,istm_riskr,lnds_evnts,lnds_risks,lnds_riskr,ltng_evnts,ltng_risks,ltng_riskr,rfld_evnts,rfld_risks,rfld_riskr,swnd_evnts,swnd_risks,swnd_riskr,trnd_evnts,trnd_risks,trnd_riskr,tsun_evnts,tsun_risks,tsun_riskr,vlcn_evnts,vlcn_risks,vlcn_riskr,wfir_evnts,wfir_risks,wfir_riskr,wntw_evnts,wntw_risks,wntw_riskr,nri_ver,fulllocation,longitude,latitude
1350,1350,minnesota,MN,kittson,4201,1.67E+09,147252592,1.11E+03,21.0944957,Very Low,26.4367816,25.31723924,Very Low,27.5862069,11.27,Very Low,0.310344828,94.18,Very High,0.494252874,NA,NA,Not Applicable,NA,NA,Not Applicable,80.00328745,76.96468,Relatively Moderate,322,73.24213,Relatively Low,NA,1.20903595,Very Low,81,31.9758193,Very Low,1.00E+00,20.48998,Very Low,NA,NA,Not Applicable,26,41.6389074,Relatively Low,0,1.670414,Very Low,319,4.44015444,Very Low,40,49.252307,Relatively Low,43,23.1944003,Relatively Low,30,18.45370665,Very Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,87.49602291,Relatively Moderate,1.05E+02,61.50175,Relatively Moderate,23-Mar,"kittson, minnesota",-96.86544,48.75631
1351,1351,minnesota,MN,koochiching,12059,2.78E+09,7894696,3.19E+03,0.66815145,Very Low,1.1494253,0.55710306,Very Low,1.1494253,34.69,Relatively Low,0.724137931,85.65,Very High,0.24137931,NA,NA,Not Applicable,NA,NA,Not Applicable,61.00959104,55.74292,Relatively Low,644,53.16577,Relatively Low,NA,1.4317531,Very Low,32,18.5491569,Very Low,0.00E+00,0,No Rating,NA,NA,Not Applicable,1,3.33111259,Very Low,0,37.16672,Relatively Low,322,12.48391248,Very Low,4,2.481705,Very Low,18,3.8816417,Very Low,4,5.1861279,Very Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,42.47534203,Very Low,8.70E+01,12.822144,Very Low,23-Mar,"koochiching, minnesota",-93.64832,48.1816
1352,1352,minnesota,MN,lac qui parle,6711,2.46E+09,286677644,7.86E+02,14.79478206,Very Low,17.2413793,19.28195605,Very Low,18.3908046,6.78,Very Low,0.126436782,86.16,Very High,0.275862069,NA,NA,Not Applicable,NA,NA,Not Applicable,49,77.34648,Relatively Moderate,217,85.26885,Relatively Moderate,NA,7.0633153,Very Low,142,31.9121858,Very Low,1.60E+01,49.79319,Relatively Low,NA,NA,Not Applicable,43,47.50166556,Relatively Low,0,7.966592,Very Low,551,13.32046332,Very Low,14,27.58511,Very Low,94,54.9793191,Relatively Low,9,27.99872733,Relatively Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,39.10276806,Very Low,1.38E+02,53.865733,Relatively Low,23-Mar,"lac qui parle, minnesota",-95.90614,45.00051
1353,1353,minnesota,MN,lake,10884,2.91E+09,410549,3.02E+03,2.00445434,Very Low,3.4482759,2.63076447,Very Low,3.4482759,7.29,Very Low,0.172413793,98.25,Very High,0.816091954,NA,NA,Not Applicable,NA,0,No Rating,48.95284579,49.25231,Relatively Low,441,21.4763,Very Low,NA,0,No Rating,14,12.4403436,Very Low,0.00E+00,0,No Rating,NA,NA,Not Applicable,7,24.5502998,Very Low,1,70.992612,Relatively Low,197,50.93307593,Relatively Low,7,3.086223,Very Low,11,9.7359211,Very Low,6,9.92682151,Very Low,NA,NA,Insufficient Data,NA,NA,Not Applicable,NA,69.55138403,Relatively Low,9.92E+01,11.676742,Very Low,23-Mar,"lake, minnesota",-93.83189,43.8419
1354,1354,minnesota,MN,lake of the woods,3752,2.05E+09,19821881,1.80E+03,2.41807191,Very Low,4.5977011,4.02352213,Very Low,4.5977011,7.16,Very Low,0.149425287,98.6,Very High,0.862068966,NA,NA,Not Applicable,NA,NA,Not Applicable,59.00328369,45.17976,Relatively Low,658,65.82883,Relatively Low,NA,0.50906777,Very Low,36,5.4088451,Very Low,0.00E+00,0,No Rating,NA,NA,Not Applicable,1,3.39773484,Very Low,0,4.368776,Very Low,298,3.6036036,Very Low,11,0,No Rating,16,8.9405027,Very Low,15,6.58606427,Very Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,75.94654788,Relatively Low,7.70E+01,44.766147,Relatively Low,23-Mar,"lake of the woods, minnesota",-94.92655,48.69439
1355,1355,minnesota,MN,le sueur,28651,8.75E+09,208000784,4.79E+02,32.51670379,Very Low,41.3793103,39.80191891,Very Low,50.5747126,6.49,Very Low,0.103448276,98.47,Very High,0.83908046,NA,NA,Not Applicable,NA,NA,Not Applicable,26,59.37003,Relatively Moderate,287,68.97868,Relatively Low,NA,15.59020045,Very Low,211,82.3417117,Relatively Moderate,2.00E+01,47.40694,Relatively Low,NA,NA,Not Applicable,24,34.17721519,Relatively Low,0,27.979441,Relatively Low,871,23.61647362,Very Low,20,37.193764,Relatively Low,161,72.923958,Relatively Moderate,23,61.97900095,Relatively Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,36.65287941,Very Low,1.09E+02,42.411709,Relatively Low,23-Mar,"le sueur, minnesota",-93.91136,44.45985
1356,1356,minnesota,MN,lincoln,5636,2.49E+09,213365401,5.54E+02,12.31307668,Very Low,12.6436782,13.86567626,Very Low,14.9425287,10.98,Very Low,0.287356322,78.07,Relatively High,0.16091954,NA,NA,Not Applicable,NA,NA,Not Applicable,42,63.6971,Relatively Moderate,217,56.22017,Relatively Low,NA,5.75882914,Very Low,171,73.7511931,Relatively Low,8.00E+00,25.58066,Very Low,NA,NA,Not Applicable,50,53.76415723,Relatively Low,0,35.817539,Relatively Low,680,7.72200772,Very Low,24,28.189628,Very Low,108,56.9519567,Relatively Low,15,28.34871142,Relatively Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,50.20680878,Very Low,1.19E+02,56.124722,Relatively Low,23-Mar,"lincoln, minnesota",-94.64085,46.21024
1357,1357,minnesota,MN,lyon,25258,7.27E+09,472890201,7.29E+02,41.67992364,Very Low,55.1724138,43.73259053,Very Low,52.8735632,48.54,Relatively Moderate,0.862068966,86.35,Very High,0.287356322,NA,NA,Not Applicable,NA,NA,Not Applicable,43,79.95546,Relatively Moderate,217,90.16863,Relatively Moderate,NA,20.80814508,Very Low,148,77.6010181,Relatively Low,1.00E+01,41.04359,Relatively Low,NA,NA,Not Applicable,38,78.31445703,Relatively Moderate,0,16.961131,Relatively Low,765,31.17760618,Relatively Low,36,54.342984,Relatively Low,97,74.6420617,Relatively Moderate,22,56.25198855,Relatively Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,34.68024181,Very Low,1.20E+02,79.032771,Relatively Moderate,23-Mar,"lyon, minnesota",-95.89871,44.39813
1358,1358,minnesota,MN,mcleod,36770,8.71E+09,212900252,5.11E+02,46.67515113,Very Low,62.0689655,52.77004024,Relatively Low,63.2183908,7.61,Very Low,0.183908046,98.66,Very High,0.873563218,NA,NA,Not Applicable,NA,NA,Not Applicable,34,72.03309,Relatively Moderate,210,34.80751,Very Low,NA,15.68565065,Very Low,217,84.9188673,Relatively Moderate,2.00E+01,78.65097,Relatively Moderate,NA,NA,Not Applicable,34,69.85343105,Relatively Moderate,0,24.188885,Relatively Low,925,65.92664093,Relatively Low,23,31.753102,Very Low,152,73.1466751,Relatively Moderate,21,70.31498568,Relatively Moderate,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,23.3216672,Very Low,1.10E+02,90.391346,Relatively High,23-Mar,"mcleod, minnesota",-94.31542,44.844
1359,1359,minnesota,MN,mahnomen,5404,1.34E+09,80413683,5.89E+02,6.90423163,Very Low,6.8965517,4.45682451,Very Low,5.7471264,92.55,Very High,1,46.79,Relatively Moderate,0.011494253,NA,NA,Not Applicable,NA,NA,Not Applicable,67.00630398,73.75119,Relatively Moderate,322,74.35571,Relatively Low,NA,3.27712377,Very Low,126,10.6267897,Very Low,6.00E+00,35.34839,Relatively Low,NA,NA,Not Applicable,2,5.56295803,Very Low,0,71.474462,Relatively Low,454,20.81724582,Very Low,14,12.313077,Very Low,67,22.2398982,Relatively Low,15,22.11263124,Very Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,72.31944003,Relatively Low,1.07E+02,20.617245,Very Low,23-Mar,"mahnomen, minnesota",-95.96554,47.31727
1360,1360,minnesota,MN,marshall,9012,2.59E+09,299817309,1.83E+03,43.62074451,Very Low,56.3218391,50.38687713,Very Low,59.7701149,10.88,Very Low,0.264367816,95.51,Very High,0.574712644,NA,NA,Not Applicable,NA,NA,Not Applicable,74.41114539,87.05059,Relatively High,546,90.07318,Relatively Moderate,NA,2.09990455,Very Low,104,62.9016863,Relatively Low,4.84E-01,21.18995,Very Low,NA,NA,Not Applicable,22,51.29913391,Relatively Low,0,0,No Rating,359,11.48648649,Very Low,34,60.101814,Relatively Low,54,37.066497,Relatively Low,33,20.61724467,Very Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,91.95036589,Relatively Moderate,1.01E+02,72.064906,Relatively Moderate,23-Mar,"marshall, minnesota",-95.79119,44.44842
1361,1361,minnesota,MN,martin,20025,6.45E+09,728932889,7.37E+02,54.62933503,Relatively Low,67.816092,57.04116373,Relatively Low,67.816092,19.16,Very Low,0.448275862,88.48,Very High,0.356321839,NA,NA,Not Applicable,NA,NA,Not Applicable,37,88.48234,Relatively High,336,94.78206,Relatively Moderate,NA,16.44925231,Very Low,157,85.2688514,Relatively Moderate,2.00E+01,52.59306,Relatively Low,NA,NA,Not Applicable,38,63.15789474,Relatively Moderate,0,42.82043,Relatively Low,960,31.01673102,Relatively Low,17,34.489341,Relatively Low,127,79.9236398,Relatively Moderate,14,66.91059497,Relatively Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,18.99459115,Very Low,1.24E+02,96.404709,Relatively High,23-Mar,"martin, minnesota",-93.54725,47.48896
1362,1362,minnesota,MN,meeker,23394,6.37E+09,304093508,6.51E+02,45.24339803,Very Low,59.7701149,50.26307645,Very Low,58.6206897,10.44,Very Low,0.252873563,97.1,Very High,0.701149425,NA,NA,Not Applicable,NA,NA,Not Applicable,44,80.55997,Relatively Moderate,238,81.92809,Relatively Low,NA,10.43588928,Very Low,207,80.0509068,Relatively Low,1.70E+01,70.63315,Relatively Low,NA,NA,Not Applicable,31,61.6922052,Relatively Moderate,0,23.835528,Relatively Low,875,50.16087516,Relatively Low,10,25.739739,Very Low,138,92.0458161,Relatively High,22,55.83837098,Relatively Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,44.63888005,Very Low,1.08E+02,70.537703,Relatively Moderate,23-Mar,"meeker, minnesota",-94.51505,45.13532
1363,1363,minnesota,MN,mille lacs,26388,6.05E+09,50390694,6.88E+02,19.5672924,Very Low,25.2873563,19.77715877,Very Low,19.5402299,59.39,Relatively Moderate,0.896551724,96.09,Very High,0.643678161,NA,NA,Not Applicable,NA,NA,Not Applicable,40.00152741,62.04263,Relatively Moderate,294,51.79765,Relatively Low,NA,6.5224308,Very Low,149,37.1619472,Very Low,1.10E+01,64.11072,Relatively Low,NA,NA,Not Applicable,26,78.61425716,Relatively Moderate,0,60.134918,Relatively Low,713,58.46203346,Relatively Low,12,20.617245,Very Low,98,55.233853,Relatively Low,13,36.04836144,Relatively Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,79.4463888,Relatively Low,9.20E+01,37.448298,Relatively Low,23-Mar,"mille lacs, minnesota",-93.62187,45.92284
1364,1364,minnesota,MN,morrison,34007,1.13E+10,452714071,1.17E+03,49.31594018,Relatively Low,65.5172414,53.04859177,Relatively Low,64.3678161,19.99,Very Low,0.471264368,95.42,Very High,0.563218391,NA,NA,Not Applicable,NA,NA,Not Applicable,44.00315223,86.8915,Relatively High,301,68.31053,Relatively Low,NA,9.19503659,Very Low,140,74.2920776,Relatively Low,1.00E+01,68.59688,Relatively Low,NA,NA,Not Applicable,22,70.55296469,Relatively Moderate,0,29.649855,Relatively Low,635,69.65894466,Relatively Moderate,17,71.555838,Relatively Low,88,60.8017817,Relatively Moderate,18,52.52943048,Relatively Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,87.01877187,Relatively Moderate,8.20E+01,77.187401,Relatively Moderate,23-Mar,"morrison, minnesota",-94.05254,45.98465
1365,1365,minnesota,MN,mower,40028,1.00E+10,473899452,7.19E+02,64.26980592,Relatively Low,81.6091954,63.81925101,Relatively Low,78.1609195,64.26,Relatively High,0.908045977,86.41,Very High,0.298850575,NA,NA,Not Applicable,NA,NA,Not Applicable,21,81.83264,Relatively Moderate,315,93.09577,Relatively Moderate,NA,22.01718104,Very Low,165,64.2061724,Relatively Low,1.40E+01,53.993,Relatively Low,NA,NA,Not Applicable,44,75.08327781,Relatively Moderate,0,19.274012,Relatively Low,949,51.28700129,Relatively Low,49,65.287941,Relatively Low,137,91.4094814,Relatively High,26,83.29621381,Relatively Moderate,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,31.78491887,Very Low,1.07E+02,91.123131,Relatively High,23-Mar,"mower, minnesota",-92.69839,43.6825
1366,1366,minnesota,MN,murray,8175,2.99E+09,387431710,7.27E+02,30.79860006,Very Low,37.9310345,35.74744661,Very Low,41.3793103,10.41,Very Low,0.24137931,93.79,Very High,0.448275862,NA,NA,Not Applicable,NA,NA,Not Applicable,42,78.96914,Relatively Moderate,231,90.26408,Relatively Moderate,NA,7.82691696,Very Low,180,73.2739421,Relatively Low,1.00E+01,30.35317,Relatively Low,NA,NA,Not Applicable,60,60.29313791,Relatively Moderate,0,14.005782,Relatively Low,869,11.42213642,Very Low,23,40.502704,Relatively Low,123,56.6974228,Relatively Low,23,38.18008272,Relatively Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,13.68119631,Very Low,1.15E+02,93.827553,Relatively High,23-Mar,"murray, minnesota",-92.18043,47.81603
1367,1367,minnesota,MN,nicollet,34438,8.70E+09,389214047,4.72E+02,52.11581292,Relatively Low,66.6666667,56.545961,Relatively Low,66.6666667,24.06,Relatively Low,0.540229885,99.68,Very High,0.988505747,NA,NA,Not Applicable,NA,NA,Not Applicable,36,87.90964,Relatively High,294,85.20522,Relatively Moderate,NA,11.13585746,Very Low,189,60.5472478,Relatively Low,2.00E+01,53.6112,Relatively Low,NA,NA,Not Applicable,29,61.09260493,Relatively Moderate,0,29.135882,Relatively Low,829,44.91634492,Relatively Low,20,3.21349,Very Low,142,92.5867006,Relatively High,22,62.23353484,Relatively Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,30.28953229,Very Low,1.24E+02,97.136494,Very High,23-Mar,"nicollet, minnesota",-94.18746,44.27608
1368,1368,minnesota,MN,nobles,22270,6.11E+09,595223857,7.30E+02,64.65160675,Relatively Low,83.908046,62.79789539,Relatively Low,74.7126437,77.94,Relatively High,0.954022989,53.85,Relatively Moderate,0.045977011,NA,NA,Not Applicable,NA,NA,Not Applicable,37,89.40503,Relatively High,252,92.07763,Relatively Moderate,NA,20.45816099,Very Low,199,83.518931,Relatively Moderate,1.20E+01,45.65702,Relatively Low,NA,NA,Not Applicable,70,83.94403731,Relatively Moderate,0,3.051719,Very Low,941,40.44401544,Relatively Low,28,70.442253,Relatively Low,133,92.30035,Relatively High,35,73.78300986,Relatively Moderate,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,17.37193764,Very Low,9.60E+01,98.090996,Very High,23-Mar,"nobles, minnesota",-95.81429,43.71969
1369,1369,minnesota,MN,norman,6420,1.73E+09,250352045,8.86E+02,25.86700605,Very Low,31.0344828,26.7099969,Very Low,28.7356322,25.97,Relatively Low,0.609195402,60.28,Relatively High,0.068965517,NA,NA,Not Applicable,NA,NA,Not Applicable,68.01203357,84.85523,Relatively High,147,83.42348,Relatively Moderate,NA,2.95895641,Very Low,146,70.6967865,Relatively Low,7.00E+00,36.36653,Relatively Low,NA,NA,Not Applicable,16,30.54630247,Relatively Low,0,29.039512,Relatively Low,419,2.54182754,Very Low,22,67.674197,Relatively Low,83,46.9615017,Relatively Low,18,23.35348393,Very Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,64.87432389,Relatively Low,1.35E+02,71.269488,Relatively Moderate,23-Mar,"norman, minnesota",-96.53131,47.34168
1370,1370,minnesota,MN,olmsted,162489,3.72E+10,245948013,6.61E+02,80.4327076,Relatively Low,91.954023,82.07985144,Relatively Low,90.8045977,23.97,Relatively Low,0.528735632,99.3,Very High,0.942528736,NA,NA,Not Applicable,NA,NA,Not Applicable,21,95.13204,Relatively High,126,77.28285,Relatively Low,NA,29.11231308,Very Low,167,94.8775056,Relatively Moderate,1.40E+01,81.60993,Relatively Moderate,NA,NA,Not Applicable,41,52.13191206,Relatively Low,0,80.629618,Relatively Moderate,853,79.76190476,Relatively Moderate,39,85.682469,Relatively Moderate,134,73.3057588,Relatively Moderate,22,94.3684378,Relatively High,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,51.79764556,Very Low,1.10E+02,96.563793,Relatively High,23-Mar,"olmsted, minnesota",-92.38136,43.99518
1371,1371,minnesota,MN,otter tail,60042,2.95E+10,401379466,2.25E+03,63.18803691,Relatively Low,80.4597701,65.61436088,Relatively Low,81.6091954,26.58,Relatively Low,0.620689655,93.63,Very High,0.413793103,NA,NA,Not Applicable,NA,NA,Not Applicable,48.55156028,88.73688,Relatively High,259,63.3153,Relatively Low,NA,21.73083042,Very Low,136,44.3207127,Very Low,6.00E+00,69.26503,Relatively Low,NA,NA,Not Applicable,5,63.42438374,Relatively Moderate,0,79.794411,Relatively Moderate,537,64.15701416,Relatively Low,36,6.23608,Very Low,83,93.2866688,Relatively High,71,81.51447661,Relatively Moderate,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,85.39611836,Relatively Low,1.10E+02,93.573019,Relatively High,23-Mar,"otter tail, minnesota",-95.55726,46.42552
1372,1372,minnesota,MN,pennington,13900,4.82E+09,76219741,6.24E+02,25.07158766,Very Low,29.8850575,32.52862891,Very Low,34.4827586,24.57,Relatively Low,0.574712644,98.15,Very High,0.804597701,NA,NA,Not Applicable,NA,NA,Not Applicable,71.0165615,69.86955,Relatively Moderate,546,78.20554,Relatively Low,NA,4.04072542,Very Low,110,61.5335667,Relatively Low,5.43E-04,17.97646,Very Low,NA,NA,Not Applicable,18,65.08994004,Relatively Moderate,0,0,No Rating,357,20.20592021,Very Low,13,2.322622,Very Low,56,17.4037544,Very Low,7,28.60324531,Relatively Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,90.35952911,Relatively Moderate,9.00E+01,16.640153,Very Low,23-Mar,"pennington, minnesota",-94.47997,47.48356
1373,1373,minnesota,MN,pine,28831,9.14E+09,44682005,1.45E+03,37.19376392,Very Low,51.7241379,35.77839678,Very Low,42.5287356,51.08,Relatively Moderate,0.873563218,69.48,Relatively High,0.091954023,NA,NA,Not Applicable,NA,NA,Not Applicable,28.00031303,83.58256,Relatively High,259,51.51129,Relatively Low,NA,6.55424753,Very Low,98,82.8189628,Relatively Moderate,5.00E+00,52.72033,Relatively Low,NA,NA,Not Applicable,30,82.31179214,Relatively Moderate,0,50.947639,Relatively Low,615,78.7001287,Relatively Moderate,14,29.366847,Very Low,73,61.2153993,Relatively Moderate,13,54.08845052,Relatively Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,78.07826917,Relatively Low,9.90E+01,45.402482,Relatively Low,23-Mar,"pine, minnesota",-92.80707,46.09831
1374,1374,minnesota,MN,pipestone,9414,3.28E+09,373940458,4.71E+02,32.42125358,Very Low,40.2298851,33.82853606,Very Low,36.7816092,45.26,Relatively Moderate,0.827586207,76.29,Relatively High,0.126436782,NA,NA,Not Applicable,NA,NA,Not Applicable,41,80.97359,Relatively Moderate,238,55.36112,Relatively Low,NA,13.26757875,Very Low,190,82.4053452,Relatively Moderate,9.00E+00,31.05313,Relatively Low,NA,NA,Not Applicable,65,67.38840773,Relatively Moderate,0,9.412143,Very Low,805,15.25096525,Very Low,50,68.278715,Relatively Low,122,31.2758511,Relatively Low,12,47.02513522,Relatively Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,24.18071906,Very Low,1.07E+02,85.841553,Relatively High,23-Mar,"pipestone, minnesota",-96.31281,43.99858
1375,1375,minnesota,MN,polk,31153,8.84E+09,492893653,2.02E+03,60.26089723,Relatively Low,73.5632184,61.59083875,Relatively Low,72.4137931,39.82,Relatively Low,0.781609195,85.33,Very High,0.229885057,NA,NA,Not Applicable,NA,NA,Not Applicable,72.41426756,95.29112,Relatively High,343,91.69583,Relatively Moderate,NA,9.16321985,Very Low,131,24.5307032,Very Low,6.61E+00,59.37003,Relatively Low,NA,NA,Not Applicable,19,72.55163225,Relatively Moderate,0,42.306457,Relatively Low,372,18.98326898,Very Low,44,79.032771,Relatively Moderate,70,52.0521794,Relatively Low,66,49.76137448,Relatively Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,91.66401527,Relatively Moderate,1.17E+02,88.959593,Relatively High,23-Mar,"polk, minnesota",-96.41705,47.66351
1376,1376,minnesota,MN,pope,11306,3.11E+09,228541463,7.24E+02,14.44479796,Very Low,14.9425287,21.10801609,Very Low,21.8390805,2.9,Very Low,0.045977011,99.52,Very High,0.965517241,NA,NA,Not Applicable,NA,NA,Not Applicable,52,73.46484,Relatively Moderate,280,69.29685,Relatively Low,NA,5.12249443,Very Low,143,64.8743239,Relatively Low,1.10E+01,49.50684,Relatively Low,NA,NA,Not Applicable,24,37.00866089,Relatively Low,0,20.462576,Relatively Low,595,20.75289575,Very Low,16,17.371938,Very Low,90,66.4015272,Relatively Moderate,25,28.76232899,Relatively Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,54.59751829,Very Low,1.21E+02,53.961184,Relatively Low,23-Mar,"pope, minnesota",-95.43637,45.54723
1377,1377,minnesota,MN,ramsey,552246,1.00E+11,3385022,1.72E+02,92.10944957,Relatively Moderate,97.7011494,91.82915506,Relatively Moderate,96.5517241,67.47,Relatively High,0.942528736,95.07,Very High,0.528735632,NA,NA,Not Applicable,NA,NA,Not Applicable,24,99.0455,Very High,28,18.32644,Very Low,NA,32.03945275,Very Low,217,95.7047407,Relatively Moderate,4.00E+01,97.96373,Relatively High,NA,NA,Not Applicable,32,49.20053298,Relatively Low,5,94.314166,Relatively Moderate,837,86.51866152,Relatively Moderate,19,53.133948,Relatively Low,164,98.8545975,Very High,9,98.95004773,Relatively High,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,68.08781419,Relatively Low,9.00E+01,81.705377,Relatively Moderate,23-Mar,"ramsey, minnesota",-93.45,45.2611
1378,1378,minnesota,MN,red lake,3934,9.37E+08,75228549,4.37E+02,3.94527522,Very Low,5.7471264,5.47818013,Very Low,6.8965517,11.17,Very Low,0.298850575,88.03,Very High,0.333333333,NA,NA,Not Applicable,NA,NA,Not Applicable,71.01800697,62.42444,Relatively Moderate,343,76.29653,Relatively Low,NA,0.5408845,Very Low,116,26.4078906,Very Low,5.00E+00,25.54884,Very Low,NA,NA,Not Applicable,20,29.78014657,Very Low,0,35.913909,Relatively Low,353,1.28700129,Very Low,14,14.190264,Very Low,60,15.2402164,Very Low,18,11.10404073,Very Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,70.72860325,Relatively Low,9.30E+01,10.91314,Very Low,23-Mar,"red lake, minnesota",-95.01694,47.87635
1379,1379,minnesota,MN,redwood,15425,4.48E+09,519755644,8.91E+02,33.43938912,Very Low,43.6781609,37.23305478,Very Low,44.8275862,20.02,Relatively Low,0.482758621,96.31,Very High,0.655172414,NA,NA,Not Applicable,NA,NA,Not Applicable,43,80.52816,Relatively Moderate,224,93.79574,Relatively Moderate,NA,9.95863824,Very Low,149,74.1011772,Relatively Low,2.00E+01,47.62965,Relatively Low,NA,NA,Not Applicable,35,54.99666889,Relatively Low,0,31.737873,Relatively Low,824,29.31145431,Relatively Low,23,44.607063,Relatively Low,102,71.0149539,Relatively Moderate,21,39.42093541,Relatively Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,17.62647152,Very Low,1.26E+02,67.928731,Relatively Moderate,23-Mar,"redwood, minnesota",-95.31025,44.35161
1380,1380,minnesota,MN,renville,14723,6.64E+09,698808941,9.97E+02,47.85237035,Very Low,63.2183908,51.25348189,Very Low,62.0689655,21.71,Relatively Low,0.505747126,92.14,Very High,0.390804598,NA,NA,Not Applicable,NA,NA,Not Applicable,42,83.96437,Relatively High,217,95.80019,Relatively Moderate,NA,15.4629335,Very Low,172,74.482978,Relatively Low,2.00E+01,50.07954,Relatively Low,NA,NA,Not Applicable,33,62.25849434,Relatively Moderate,0,34.436235,Relatively Low,745,25.19305019,Very Low,20,38.4028,Relatively Low,117,89.6277442,Relatively High,25,52.43398027,Relatively Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,22.01718104,Very Low,1.31E+02,78.110086,Relatively Moderate,23-Mar,"renville, minnesota",-95.21167,44.78913
1381,1381,minnesota,MN,rice,67082,1.56E+10,235104082,5.21E+02,71.4922049,Relatively Low,88.5057471,72.70194986,Relatively Low,88.5057471,40.99,Relatively Moderate,0.804597701,94.21,Very High,0.505747126,NA,NA,Not Applicable,NA,NA,Not Applicable,24,81.51448,Relatively Moderate,189,65.06522,Relatively Low,NA,16.22653516,Very Low,217,96.6910595,Relatively High,2.00E+01,75.78746,Relatively Moderate,NA,NA,Not Applicable,31,57.52831446,Relatively Low,0,31.834243,Relatively Low,899,39.38223938,Relatively Low,19,43.207127,Relatively Low,172,84.2825326,Relatively Moderate,38,89.05504295,Relatively Moderate,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,48.71142221,Very Low,1.09E+02,86.032453,Relatively High,23-Mar,"rice, minnesota",-94.22233,45.7529
1382,1382,minnesota,MN,rock,9704,2.45E+09,480668994,4.88E+02,29.33503023,Very Low,35.6321839,34.91179201,Very Low,39.0804598,12.79,Very Low,0.333333333,76.8,Relatively High,0.149425287,NA,NA,Not Applicable,NA,NA,Not Applicable,25,72.28762,Relatively Moderate,266,60.32453,Relatively Low,NA,8.33598473,Very Low,211,81.100859,Relatively Moderate,1.00E+01,32.8985,Relatively Low,NA,NA,Not Applicable,78,63.82411726,Relatively Moderate,0,37.038227,Relatively Low,916,14.15701416,Very Low,44,50.302259,Relatively Low,136,69.8059179,Relatively Moderate,15,43.27076042,Relatively Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,10.05408845,Very Low,8.30E+01,88.864143,Relatively High,23-Mar,"rock, minnesota",-96.32261,43.6927
1383,1383,minnesota,MN,roseau,15292,5.79E+09,148573300,1.70E+03,61.59720013,Relatively Low,78.1609195,65.45961003,Relatively Low,80.4597701,21.13,Relatively Low,0.494252874,79.98,Relatively High,0.183908046,NA,NA,Not Applicable,NA,NA,Not Applicable,73.00470208,79.51002,Relatively Moderate,581,89.30958,Relatively Moderate,NA,2.8635062,Very Low,56,18.7082405,Very Low,0.00E+00,0,No Rating,NA,NA,Not Applicable,21,63.59093937,Relatively Moderate,0,1.927401,Very Low,303,13.77091377,Very Low,19,78.332803,Relatively Moderate,27,27.3305759,Relatively Low,37,18.64460706,Very Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,96.2456252,Relatively Moderate,8.10E+01,16.035635,Very Low,23-Mar,"roseau, minnesota",-95.76277,48.84609
